                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5206,                  0.125,                    0.5,                 2.2962,              2.856e-05,              2.856e-05,              2.856e-05
                      2,                 2.3803,                 0.1375,                  0.575,                 2.2936,             6.3624e-05,             6.3624e-05,             6.3624e-05
                      3,                 2.2955,                  0.225,                   0.65,                 2.2832,             9.7981e-05,             9.7981e-05,             9.7981e-05
                      4,                 2.2934,                    0.2,                 0.7125,                  2.278,             0.00013163,             0.00013163,             0.00013163
                      5,                 2.2366,                    0.2,                  0.725,                 2.2669,             0.00016457,             0.00016457,             0.00016457
                      6,                 2.2377,                  0.225,                  0.725,                 2.2611,             0.00019681,             0.00019681,             0.00019681
                      7,                 2.2186,                  0.325,                 0.7625,                 2.2441,             0.00022834,             0.00022834,             0.00022834
                      8,                 2.1239,                   0.35,                 0.7875,                 2.2148,             0.00025916,             0.00025916,             0.00025916
                      9,                 1.9874,                 0.4125,                 0.8625,                 2.2064,             0.00028928,             0.00028928,             0.00028928
                     10,                 1.8987,                  0.425,                  0.875,                 2.1914,             0.00031869,             0.00031869,             0.00031869
                     11,                 1.8127,                 0.4625,                  0.925,                  2.168,             0.00034739,             0.00034739,             0.00034739
                     12,                 1.8491,                  0.525,                 0.9375,                 2.1419,             0.00037538,             0.00037538,             0.00037538
                     13,                 1.6977,                 0.5375,                 0.9375,                 2.1328,             0.00040267,             0.00040267,             0.00040267
                     14,                 1.7134,                 0.5875,                   0.95,                 2.0931,             0.00042925,             0.00042925,             0.00042925
                     15,                 1.6135,                   0.65,                   0.95,                  2.054,             0.00045513,             0.00045513,             0.00045513
                     16,                 1.4755,                  0.625,                   0.95,                 2.0449,              0.0004803,              0.0004803,              0.0004803
                     17,                 1.4104,                  0.675,                  0.975,                 1.9756,             0.00050476,             0.00050476,             0.00050476
                     18,                 1.3865,                  0.675,                 0.9625,                 1.9648,             0.00052851,             0.00052851,             0.00052851
                     19,                 1.4078,                    0.7,                  0.975,                 1.9642,             0.00055156,             0.00055156,             0.00055156
                     20,                 1.2647,                  0.725,                 0.9625,                 1.9206,              0.0005739,              0.0005739,              0.0005739
                     21,                 1.3054,                  0.725,                  0.975,                 1.9014,             0.00057263,             0.00057263,             0.00057263
                     22,                  1.325,                   0.75,                  0.975,                 1.8936,             0.00057263,             0.00057263,             0.00057263
                     23,                 1.0859,                 0.7875,                 0.9625,                 1.8701,             0.00056556,             0.00056556,             0.00056556
                     24,                 1.1874,                 0.7625,                  0.975,                 1.8421,             0.00055849,             0.00055849,             0.00055849
                     25,                0.95867,                  0.775,                 0.9625,                 1.8337,             0.00055142,             0.00055142,             0.00055142
                     26,                 1.0815,                    0.8,                 0.9625,                  1.818,             0.00054435,             0.00054435,             0.00054435
                     27,                 1.0817,                 0.8125,                  0.975,                 1.7728,             0.00053728,             0.00053728,             0.00053728
                     28,                 1.0312,                 0.8375,                 0.9875,                  1.793,             0.00053022,             0.00053022,             0.00053022
                     29,                 0.8627,                   0.85,                  0.975,                 1.7533,             0.00052315,             0.00052315,             0.00052315
                     30,                0.97512,                   0.85,                  0.975,                 1.7578,             0.00051608,             0.00051608,             0.00051608
                     31,                0.87644,                   0.85,                  0.975,                 1.7471,             0.00050901,             0.00050901,             0.00050901
                     32,                0.79353,                 0.8375,                  0.975,                 1.7363,             0.00050194,             0.00050194,             0.00050194
                     33,                0.77553,                 0.8375,                 0.9875,                 1.7406,             0.00049487,             0.00049487,             0.00049487
                     34,                0.79084,                   0.85,                  0.975,                 1.7174,              0.0004878,              0.0004878,              0.0004878
                     35,                0.78133,                   0.85,                 0.9875,                 1.7103,             0.00048074,             0.00048074,             0.00048074
                     36,                0.70508,                  0.825,                      1,                 1.6989,             0.00047367,             0.00047367,             0.00047367
                     37,                0.74591,                  0.825,                      1,                 1.7162,              0.0004666,              0.0004666,              0.0004666
                     38,                0.68172,                  0.825,                      1,                  1.724,             0.00045953,             0.00045953,             0.00045953
                     39,                 0.7833,                  0.825,                      1,                 1.7155,             0.00045246,             0.00045246,             0.00045246
                     40,                0.77113,                 0.8375,                      1,                 1.7022,             0.00044539,             0.00044539,             0.00044539
                     41,                0.59694,                 0.8375,                      1,                 1.6966,             0.00043832,             0.00043832,             0.00043832
                     42,                0.77974,                 0.8625,                      1,                 1.6934,             0.00043126,             0.00043126,             0.00043126
                     43,                0.73082,                 0.8375,                      1,                 1.7047,             0.00042419,             0.00042419,             0.00042419
                     44,                0.64208,                  0.825,                      1,                 1.7106,             0.00041712,             0.00041712,             0.00041712
                     45,                0.70306,                    0.8,                      1,                 1.7272,             0.00041005,             0.00041005,             0.00041005
                     46,                0.68816,                  0.825,                      1,                 1.7051,             0.00040298,             0.00040298,             0.00040298
                     47,                 0.7053,                 0.8375,                      1,                 1.7174,             0.00039591,             0.00039591,             0.00039591
                     48,                0.37183,                 0.8125,                      1,                 1.6999,             0.00038884,             0.00038884,             0.00038884
                     49,                0.56897,                 0.8125,                      1,                 1.7158,             0.00038178,             0.00038178,             0.00038178
                     50,                0.68104,                 0.8125,                      1,                 1.7227,             0.00037471,             0.00037471,             0.00037471
                     51,                0.60377,                 0.8125,                      1,                 1.7022,             0.00036764,             0.00036764,             0.00036764
                     52,                0.57573,                    0.8,                      1,                 1.6966,             0.00036057,             0.00036057,             0.00036057
                     53,                0.44683,                    0.8,                      1,                 1.6989,              0.0003535,              0.0003535,              0.0003535
                     54,                0.64329,                 0.8125,                      1,                 1.6904,             0.00034643,             0.00034643,             0.00034643
                     55,                0.61988,                    0.8,                      1,                 1.6914,             0.00033936,             0.00033936,             0.00033936
                     56,                0.48425,                 0.8375,                      1,                 1.6862,              0.0003323,              0.0003323,              0.0003323
                     57,                0.65401,                 0.8375,                      1,                 1.6816,             0.00032523,             0.00032523,             0.00032523
                     58,                0.47548,                   0.85,                      1,                 1.6712,             0.00031816,             0.00031816,             0.00031816
                     59,                0.38102,                 0.8375,                      1,                 1.6654,             0.00031109,             0.00031109,             0.00031109
                     60,                0.45164,                 0.8375,                      1,                 1.6742,             0.00030402,             0.00030402,             0.00030402
                     61,                0.37446,                 0.8375,                      1,                 1.6725,             0.00029695,             0.00029695,             0.00029695
                     62,                0.56412,                 0.8375,                      1,                 1.6507,             0.00028988,             0.00028988,             0.00028988
                     63,                0.40405,                   0.85,                      1,                  1.666,             0.00028282,             0.00028282,             0.00028282
                     64,                0.51471,                   0.85,                      1,                 1.6934,             0.00027575,             0.00027575,             0.00027575
                     65,                  0.635,                   0.85,                      1,                 1.6976,             0.00026868,             0.00026868,             0.00026868
                     66,                0.50866,                 0.8375,                      1,                 1.6673,             0.00026161,             0.00026161,             0.00026161
                     67,                0.50239,                 0.8375,                      1,                 1.6989,             0.00025454,             0.00025454,             0.00025454
                     68,                0.54403,                   0.85,                      1,                 1.7077,             0.00024747,             0.00024747,             0.00024747
                     69,                0.43478,                   0.85,                      1,                 1.6676,              0.0002404,              0.0002404,              0.0002404
                     70,                0.58312,                   0.85,                      1,                 1.6803,             0.00023334,             0.00023334,             0.00023334
                     71,                0.46988,                 0.8375,                      1,                 1.6921,             0.00022627,             0.00022627,             0.00022627
                     72,                0.45267,                   0.85,                      1,                 1.6875,              0.0002192,              0.0002192,              0.0002192
                     73,                0.40546,                   0.85,                      1,                 1.6771,             0.00021213,             0.00021213,             0.00021213
                     74,                0.38713,                   0.85,                      1,                  1.666,             0.00020506,             0.00020506,             0.00020506
                     75,                0.50106,                 0.8375,                      1,                 1.6803,             0.00019799,             0.00019799,             0.00019799
                     76,                0.57246,                 0.8375,                      1,                 1.6621,             0.00019092,             0.00019092,             0.00019092
                     77,                0.32942,                 0.8375,                      1,                 1.6579,             0.00018385,             0.00018385,             0.00018385
                     78,                0.51889,                 0.8375,                      1,                 1.6647,             0.00017679,             0.00017679,             0.00017679
                     79,                0.40071,                 0.8375,                      1,                 1.6657,             0.00016972,             0.00016972,             0.00016972
                     80,                0.47007,                   0.85,                      1,                 1.6735,             0.00016265,             0.00016265,             0.00016265
                     81,                0.37459,                   0.85,                      1,                 1.6455,             0.00015558,             0.00015558,             0.00015558
                     82,                0.46626,                   0.85,                      1,                  1.679,             0.00014851,             0.00014851,             0.00014851
                     83,                0.52383,                 0.8375,                      1,                 1.6458,             0.00014144,             0.00014144,             0.00014144
                     84,                0.44651,                   0.85,                      1,                 1.6494,             0.00013437,             0.00013437,             0.00013437
                     85,                0.49783,                   0.85,                      1,                 1.6699,             0.00012731,             0.00012731,             0.00012731
                     86,                0.32918,                   0.85,                      1,                 1.6514,             0.00012024,             0.00012024,             0.00012024
                     87,                0.38769,                   0.85,                      1,                 1.6572,             0.00011317,             0.00011317,             0.00011317
                     88,                0.43994,                   0.85,                      1,                 1.6605,              0.0001061,              0.0001061,              0.0001061
                     89,                0.62966,                   0.85,                      1,                 1.6624,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.50267,                 0.8375,                      1,                 1.6403,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.47153,                 0.8375,                      1,                 1.6393,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                  0.385,                 0.8375,                      1,                 1.6361,             7.7826e-05,             7.7826e-05,             7.7826e-05
